tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2024-0336,Hong Kong,Hard,32,A,2024-01-01,296,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,126207,3.0,,Frances Tiafoe,R,188.0,USA,25.9,6-4 6-4,3,QF,89.0,3.0,1.0,54.0,25.0,19.0,23.0,10.0,1.0,1.0,12.0,2.0,56.0,34.0,28.0,11.0,10.0,6.0,8.0,183.0,335.0,16.0,2310.0,2024
2024-9900,United Cup,Hard,18,A,2024-01-01,254,134770,,,Casper Ruud,R,183.0,NOR,25.0,106432,,,Borna Coric,R,188.0,CRO,27.1,6-4 6-1,3,RR,89.0,7.0,2.0,50.0,32.0,28.0,10.0,9.0,3.0,3.0,3.0,1.0,53.0,38.0,25.0,5.0,8.0,3.0,6.0,11.0,2825.0,37.0,1135.0,2024
2024-0336,Hong Kong,Hard,32,A,2024-01-01,297,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,209950,8.0,,Arthur Fils,R,185.0,FRA,19.5,6-4 1-6 6-2,3,QF,112.0,8.0,0.0,65.0,41.0,31.0,15.0,12.0,4.0,6.0,12.0,7.0,92.0,53.0,38.0,15.0,13.0,7.0,10.0,5.0,4805.0,36.0,1158.0,2024
2024-0336,Hong Kong,Hard,32,A,2024-01-01,298,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,124116,,,Sebastian Ofner,R,191.0,AUT,27.6,4-6 7-5 6-3,3,SF,132.0,9.0,1.0,88.0,60.0,48.0,16.0,16.0,2.0,4.0,11.0,1.0,100.0,56.0,40.0,22.0,15.0,9.0,12.0,69.0,771.0,43.0,1048.0,2024
2024-0336,Hong Kong,Hard,32,A,2024-01-01,299,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,209992,,WC,Juncheng Shang,L,180.0,CHN,18.9,4-6 6-2 6-3,3,SF,129.0,12.0,1.0,98.0,55.0,38.0,29.0,14.0,13.0,14.0,4.0,3.0,78.0,45.0,27.0,19.0,13.0,5.0,8.0,5.0,4805.0,183.0,335.0,2024
2024-0336,Hong Kong,Hard,32,A,2024-01-01,300,126094,1.0,,Andrey Rublev,R,188.0,RUS,26.1,200325,,,Emil Ruusuvuori,R,188.0,FIN,24.7,6-4 6-4,3,F,77.0,5.0,0.0,58.0,40.0,29.0,14.0,10.0,1.0,1.0,5.0,4.0,62.0,39.0,26.0,12.0,10.0,5.0,7.0,5.0,4805.0,69.0,771.0,2024
2024-9900,United Cup,Hard,18,A,2024-01-01,252,134770,,,Casper Ruud,R,183.0,NOR,25.0,134868,,,Tallon Griekspoor,R,188.0,NED,27.4,6-3 6-4,3,RR,71.0,7.0,2.0,54.0,39.0,32.0,7.0,10.0,2.0,3.0,5.0,2.0,52.0,33.0,21.0,11.0,9.0,4.0,7.0,11.0,2825.0,23.0,1640.0,2024
2024-9900,United Cup,Hard,18,A,2024-01-01,256,106432,,,Borna Coric,R,188.0,CRO,27.1,134868,,,Tallon Griekspoor,R,188.0,NED,27.4,7-6(4) 6-4,3,RR,120.0,3.0,2.0,65.0,39.0,30.0,16.0,11.0,2.0,3.0,6.0,5.0,76.0,50.0,31.0,16.0,11.0,3.0,5.0,37.0,1135.0,23.0,1640.0,2024
2024-9900,United Cup,Hard,18,A,2024-01-01,270,111815,,,Cameron Norrie,L,188.0,GBR,28.3,200282,,,Alex De Minaur,R,183.0,AUS,24.8,6-4 2-6 7-6(2),3,RR,140.0,7.0,1.0,89.0,57.0,51.0,12.0,15.0,1.0,3.0,8.0,3.0,81.0,45.0,35.0,23.0,15.0,2.0,3.0,18.0,1940.0,12.0,2740.0,2024
2024-9900,United Cup,Hard,18,A,2024-01-01,262,111190,,,Zhizhen Zhang,R,193.0,CHN,27.2,208103,,,Jiri Lehecka,R,185.0,CZE,22.1,5-7 6-3 6-4,3,RR,140.0,5.0,3.0,97.0,59.0,42.0,19.0,16.0,7.0,10.0,10.0,1.0,79.0,43.0,33.0,20.0,15.0,6.0,10.0,58.0,885.0,31.0,1372.0,2024
