tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_overall_elo,loser_overall_elo,overall_elo_difference,winner_grass_elo,loser_grass_elo,grass_elo_difference,winner_grass_win_pct,loser_grass_win_pct,winner_recent_form,loser_recent_form,higher_overall_elo_won,higher_grass_elo_won,winner_grass_first_serve_in_pct,winner_grass_first_serve_won_pct,winner_grass_second_serve_won_pct,winner_grass_ace_rate,loser_grass_first_serve_in_pct,loser_grass_first_serve_won_pct,loser_grass_second_serve_won_pct,loser_grass_ace_rate
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,192.0,223670.0,,,Diana Shnaider,L,,RUS,20.2,201585.0,,,Sloane Stephens,R,170.0,USA,31.2,6-1 6-1,3.0,R64,49.0,0.0,1.0,44.0,25.0,17.0,13.0,7.0,1.0,1.0,0.0,1.0,38.0,25.0,8.0,6.0,7.0,0.0,5.0,30.0,1690.0,50.0,1217.0,2024.0,,,,,,,,,,,,,0.6593,0.6433,0.5686,0.0431,0.709,0.5562,0.522,0.0224
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,193.0,215613.0,19.0,,Emma Navarro,R,,USA,23.1,211768.0,,WC,Naomi Osaka,R,180.0,JPN,26.7,6-4 6-1,3.0,R64,59.0,0.0,1.0,45.0,33.0,27.0,7.0,8.0,0.0,0.0,4.0,0.0,48.0,30.0,19.0,8.0,9.0,1.0,5.0,17.0,2323.0,113.0,669.0,2024.0,,,,,,,,,,,,,0.6806,0.6715,0.5071,0.0186,0.5495,0.7823,0.509,0.1021
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,194.0,222661.0,,Q,Sonay Kartal,R,,GBR,22.6,216262.0,,,Clara Burel,R,176.0,FRA,23.2,6-3 5-7 6-3,3.0,R64,135.0,0.0,1.0,98.0,63.0,43.0,19.0,15.0,10.0,13.0,3.0,8.0,107.0,59.0,35.0,24.0,15.0,7.0,12.0,298.0,228.0,45.0,1288.0,2024.0,,,,,,,,,,,,,0.6725,0.6235,0.4431,0.0176,0.5496,0.5883,0.4359,0.0495
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,195.0,221103.0,2.0,,Coco Gauff,R,175.0,USA,20.3,223331.0,,Q,Anca Alexia Todoni,R,,ROU,19.7,6-2 6-1,3.0,R64,66.0,2.0,2.0,47.0,20.0,17.0,16.0,7.0,2.0,2.0,2.0,2.0,54.0,36.0,20.0,5.0,8.0,4.0,9.0,2.0,7943.0,142.0,541.0,2024.0,,,,,,,,,,,,,0.5979,0.755,0.5275,0.0846,0.6638,0.6752,0.4389,0.0439
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,197.0,211533.0,13.0,,Jelena Ostapenko,R,177.0,LAT,27.0,211095.0,,,Bernarda Pera,L,175.0,USA,29.5,6-1 6-3,3.0,R32,59.0,2.0,3.0,46.0,24.0,20.0,10.0,8.0,7.0,9.0,4.0,4.0,52.0,24.0,12.0,10.0,8.0,4.0,10.0,14.0,3058.0,97.0,752.0,2024.0,,,,,,,,,,,,,0.575,0.7188,0.4748,0.0808,0.5889,0.6555,0.4481,0.0735
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,198.0,203389.0,11.0,,Danielle Collins,R,178.0,USA,30.5,206242.0,20.0,,Beatriz Haddad Maia,L,185.0,BRA,28.0,6-4 6-4,3.0,R32,98.0,3.0,8.0,69.0,35.0,22.0,16.0,10.0,4.0,7.0,5.0,5.0,60.0,39.0,24.0,6.0,10.0,3.0,8.0,11.0,3532.0,20.0,2218.0,2024.0,,,,,,,,,,,,,0.5746,0.6808,0.4861,0.0566,0.6636,0.6559,0.5146,0.0362
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,199.0,206252.0,31.0,,Barbora Krejcikova,R,178.0,CZE,28.5,222601.0,,,Jessica Bouzas Maneiro,R,,ESP,21.7,6-0 4-3 RET,3.0,R32,56.0,3.0,3.0,36.0,25.0,23.0,5.0,6.0,0.0,0.0,0.0,5.0,36.0,21.0,11.0,5.0,7.0,1.0,5.0,32.0,1643.0,83.0,828.0,2024.0,,,,,,,,,,,,,0.6443,0.7379,0.5092,0.0642,0.6,0.6418,0.3884,0.0229
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,191.0,201619.0,12.0,,Madison Keys,R,178.0,USA,29.3,206374.0,,,Yafan Wang,R,170.0,CHN,30.1,6-2 6-2,3.0,R64,77.0,5.0,3.0,45.0,34.0,30.0,4.0,8.0,0.0,0.0,1.0,3.0,76.0,48.0,28.0,11.0,8.0,10.0,14.0,13.0,3068.0,71.0,919.0,2024.0,,,,,,,,,,,,,0.7262,0.7262,0.4418,0.0645,0.5981,0.628,0.4643,0.0227
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,200.0,214981.0,4.0,,Elena Rybakina,R,184.0,KAZ,25.0,201496.0,,WC,Caroline Wozniacki,R,177.0,DEN,33.9,6-0 6-1,3.0,R32,57.0,9.0,4.0,45.0,31.0,25.0,6.0,7.0,1.0,1.0,0.0,2.0,42.0,23.0,10.0,6.0,6.0,6.0,11.0,4.0,6026.0,91.0,774.0,2024.0,,,,,,,,,,,,,0.5992,0.815,0.4757,0.1333,0.6543,0.6579,0.4047,0.0295
2024-540,Wimbledon,Grass,128.0,G,2024-07-01,196.0,201709.0,,,Yulia Putintseva,R,163.0,KAZ,29.4,216347.0,1.0,,Iga Swiatek,R,176.0,POL,23.0,3-6 6-1 6-2,3.0,R32,119.0,0.0,4.0,85.0,62.0,42.0,12.0,12.0,7.0,8.0,5.0,2.0,78.0,52.0,32.0,12.0,12.0,4.0,8.0,35.0,1553.0,1.0,11585.0,2024.0,,,,,,,,,,,,,0.6883,0.6834,0.5293,0.0343,0.6863,0.7398,0.5493,0.0349
