tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2024-800,Brisbane,Hard,64,P,2024-01-01,247,259799,,,Mirra Andreeva,R,,RUS,16.6,223670,,,Diana Shnaider,L,,RUS,19.7,6-2 6-3,3,R64,75.0,3.0,3.0,47.0,29.0,22.0,12.0,8.0,1.0,1.0,1.0,1.0,62.0,40.0,22.0,10.0,9.0,5.0,9.0,58.0,1060.0,97.0,785.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,244,203533,,,Anna Karolina Schmiedlova,R,176.0,SVK,29.3,214452,,,Caroline Dolehide,R,178.0,USA,25.3,3-6 6-4 6-2,3,R64,145.0,3.0,3.0,89.0,55.0,37.0,16.0,14.0,3.0,7.0,7.0,2.0,95.0,69.0,38.0,15.0,13.0,8.0,13.0,73.0,918.0,45.0,1193.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,243,201611,,WC,Daria Saville,R,166.0,AUS,29.8,215035,,Q,Dayana Yastremska,R,175.0,UKR,23.6,6-0 6-4,3,R64,90.0,4.0,2.0,50.0,31.0,24.0,11.0,8.0,3.0,3.0,0.0,2.0,61.0,33.0,22.0,9.0,8.0,7.0,11.0,209.0,366.0,98.0,767.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,240,201585,,,Sloane Stephens,R,170.0,USA,30.7,211701,,,Katerina Siniakova,R,174.0,CZE,27.6,7-5 6-3,3,R64,102.0,2.0,2.0,78.0,56.0,34.0,13.0,11.0,5.0,7.0,0.0,5.0,61.0,34.0,20.0,14.0,10.0,0.0,4.0,44.0,1200.0,50.0,1162.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,299,221103,1.0,,Coco Gauff,R,175.0,USA,19.8,215613,4.0,,Emma Navarro,R,,USA,22.6,6-3 6-1,3,SF,62.0,10.0,1.0,46.0,30.0,28.0,7.0,8.0,2.0,2.0,1.0,2.0,53.0,37.0,18.0,8.0,8.0,1.0,5.0,3.0,6690.0,31.0,1480.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,300,221103,1.0,,Coco Gauff,R,175.0,USA,19.8,202494,2.0,,Elina Svitolina,R,174.0,UKR,29.3,6-7(4) 6-3 6-3,3,F,155.0,3.0,7.0,92.0,60.0,43.0,15.0,15.0,3.0,6.0,0.0,3.0,109.0,66.0,38.0,21.0,15.0,7.0,13.0,3.0,6690.0,25.0,1809.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,298,202494,2.0,,Elina Svitolina,R,174.0,UKR,29.3,216016,,,Xiyu Wang,L,,CHN,22.7,2-6 6-4 6-3,3,SF,143.0,6.0,3.0,89.0,62.0,40.0,12.0,14.0,6.0,10.0,2.0,4.0,83.0,44.0,32.0,18.0,13.0,6.0,10.0,25.0,1809.0,71.0,937.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,297,221103,1.0,,Coco Gauff,R,175.0,USA,19.8,219875,8.0,,Varvara Gracheva,R,,FRA,23.4,6-1 6-1,3,QF,53.0,5.0,1.0,40.0,29.0,21.0,8.0,7.0,0.0,0.0,1.0,2.0,46.0,29.0,14.0,6.0,7.0,2.0,7.0,3.0,6690.0,42.0,1248.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,248,201613,,WC,Arina Rodionova,R,168.0,AUS,34.0,203354,,,Martina Trevisan,L,160.0,ITA,30.1,6-3 6-2,3,R64,87.0,1.0,1.0,51.0,37.0,26.0,7.0,9.0,1.0,3.0,2.0,5.0,61.0,37.0,23.0,5.0,8.0,9.0,14.0,113.0,677.0,46.0,1189.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,239,216265,,Q,Olivia Gadecki,R,,AUS,21.6,214040,,WC,Kimberly Birrell,R,170.0,AUS,25.6,4-6 6-0 6-4,3,R64,123.0,7.0,7.0,65.0,42.0,37.0,10.0,13.0,0.0,2.0,4.0,7.0,93.0,63.0,38.0,14.0,13.0,9.0,14.0,124.0,607.0,115.0,671.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,251,222328,,,Linda Noskova,R,,CZE,19.1,201693,,Q,Timea Babos,R,179.0,HUN,30.6,5-7 7-6(8) 7-6(2),3,R64,186.0,5.0,6.0,132.0,76.0,61.0,29.0,18.0,6.0,7.0,18.0,4.0,123.0,72.0,57.0,31.0,18.0,9.0,9.0,40.0,1278.0,192.0,404.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,267,203389,,,Danielle Collins,R,178.0,USA,30.0,221024,,Q,Hailey Baptiste,R,,USA,22.1,6-1 4-6 6-3,3,R64,117.0,2.0,6.0,82.0,43.0,29.0,24.0,13.0,4.0,6.0,5.0,4.0,75.0,40.0,30.0,12.0,13.0,6.0,11.0,54.0,1090.0,129.0,583.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,255,214939,,,Anna Kalinskaya,R,175.0,RUS,25.0,211095,,,Bernarda Pera,L,175.0,USA,29.0,6-2 6-1,3,R64,57.0,3.0,1.0,44.0,27.0,21.0,11.0,8.0,0.0,1.0,1.0,1.0,43.0,30.0,14.0,4.0,7.0,1.0,6.0,80.0,887.0,69.0,943.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,256,216262,,,Clara Burel,R,176.0,FRA,22.7,220309,,Q,Zeynep Sonmez,R,,TUR,21.6,6-4 6-2,3,R64,66.0,1.0,4.0,56.0,31.0,23.0,13.0,9.0,4.0,5.0,0.0,3.0,53.0,35.0,23.0,6.0,9.0,3.0,7.0,56.0,1081.0,163.0,478.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,259,211768,,WC,Naomi Osaka,R,180.0,JPN,26.2,211337,,,Tamara Korpatsch,R,170.0,GER,28.6,6-3 7-6(9),3,R64,108.0,5.0,1.0,62.0,41.0,30.0,10.0,10.0,0.0,2.0,1.0,5.0,85.0,50.0,34.0,10.0,11.0,4.0,8.0,,,83.0,847.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,260,202429,,,Camila Giorgi,R,168.0,ITA,32.0,220548,,,Peyton Stearns,R,,USA,22.2,5-7 6-2 6-3,3,R64,159.0,4.0,7.0,105.0,60.0,40.0,22.0,15.0,9.0,13.0,7.0,10.0,100.0,44.0,33.0,20.0,14.0,6.0,12.0,55.0,1089.0,49.0,1168.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,264,213710,,,Cristina Bucsa,R,,ESP,25.9,213889,,,Greet Minnen,R,,BEL,26.3,5-7 6-3 6-1,3,R64,130.0,3.0,2.0,73.0,47.0,36.0,13.0,14.0,2.0,5.0,3.0,3.0,109.0,66.0,39.0,19.0,14.0,15.0,21.0,61.0,1023.0,64.0,999.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,296,215613,4.0,,Emma Navarro,R,,USA,22.6,201549,7.0,,Petra Martic,R,181.0,CRO,32.9,6-4 6-3,3,QF,88.0,2.0,1.0,60.0,48.0,33.0,3.0,10.0,3.0,6.0,7.0,4.0,62.0,32.0,19.0,11.0,9.0,6.0,11.0,31.0,1480.0,41.0,1264.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,268,214459,,,Lucia Bronzetti,R,,ITA,25.0,221909,,,Ashlyn Krueger,R,185.0,USA,19.6,6-4 7-5,3,R64,118.0,1.0,3.0,75.0,41.0,26.0,18.0,11.0,1.0,4.0,4.0,10.0,86.0,53.0,34.0,10.0,11.0,10.0,15.0,52.0,1137.0,78.0,896.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,270,214981,2.0,,Elena Rybakina,R,184.0,KAZ,24.5,216265,,Q,Olivia Gadecki,R,,AUS,21.6,6-4 6-1,3,R32,72.0,4.0,1.0,53.0,35.0,28.0,10.0,9.0,3.0,3.0,0.0,2.0,54.0,34.0,23.0,7.0,8.0,2.0,5.0,4.0,6366.0,124.0,607.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,271,210722,13.0,,Elise Mertens,R,179.0,BEL,28.1,201585,,,Sloane Stephens,R,170.0,USA,30.7,2-6 6-1 6-3,3,R32,101.0,5.0,4.0,63.0,33.0,23.0,17.0,12.0,2.0,5.0,1.0,2.0,66.0,47.0,29.0,8.0,12.0,3.0,8.0,30.0,1506.0,44.0,1200.0,2024
